,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-04-01,7.662500000000005,221.27777777777777,5.19513888888889,11.673611111111109,13.627083333333333,55.173611111111114,13.815972222222221,13.449999999999992,,,,6.4312499999999995,5.502777777777776,1182.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-04-02,5.345833333333333,202.22916666666666,3.524305555555555,11.895833333333336,14.700000000000001,56.611111111111114,14.897222222222224,14.512499999999998,,,,4.482638888888889,3.7916666666666683,1165.8472222222222,0.0,0,0,1,0,0,0,0,0
2019-04-03,4.521527777777779,158.21527777777777,2.737499999999999,19.25486111111111,16.277777777777775,50.75694444444444,16.483333333333334,16.054861111111123,,,,3.7347222222222225,3.0465277777777775,1164.8055555555557,0.0,1,0,0,0,0,0,0,0
2019-04-04,4.481249999999999,272.9375,2.886111111111111,14.351388888888891,16.146527777777784,68.46527777777777,16.339583333333337,15.959722222222224,,,,3.734722222222221,3.144444444444444,1165.548611111111,0.0,0,1,0,0,0,0,0,0
2019-04-05,3.685416666666667,236.42361111111111,2.0840277777777776,18.14861111111112,15.247916666666661,74.22222222222223,15.4375,15.070833333333333,,,,2.971527777777778,2.3409722222222222,1183.5625,0.0,0,0,1,0,0,0,0,0
2019-04-06,2.944444444444445,163.44444444444446,1.9444444444444444,17.668750000000014,19.097916666666674,48.416666666666664,19.294444444444444,18.913194444444446,,,,2.552777777777779,2.197222222222222,1182.5833333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,5.587500000000002,208.34027777777777,3.6555555555555563,12.334722222222226,22.704861111111114,35.5625,22.957638888888887,22.44513888888889,,,,4.718055555555554,3.9562500000000003,1165.3402777777778,0.0,0,0,1,0,0,0,0,0
2019-04-08,3.6381944444444443,223.08333333333334,2.3243055555555543,17.391666666666673,20.126388888888894,50.541666666666664,20.379861111111108,19.891666666666666,,,,3.061805555555555,2.547222222222221,1165.576388888889,0.0,0,0,1,0,0,0,0,0
2019-04-09,6.547222222222222,244.34027777777777,4.490972222222221,11.37708333333333,18.402083333333334,61.02777777777778,18.622916666666676,18.176388888888894,,,,5.550694444444445,4.78125,1181.138888888889,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.794444444444445,214.9375,2.303472222222224,18.458333333333318,15.85555555555555,60.479166666666664,16.080555555555552,15.636111111111113,,,,3.175694444444446,2.543055555555556,1183.2291666666667,0.0,0,0,1,0,0,0,0,0
2019-04-11,4.582638888888891,165.07638888888889,2.800694444444443,17.0638888888889,15.925694444444446,50.854166666666664,16.172222222222224,15.7138888888889,,,,3.675694444444445,3.0451388888888884,1182.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-04-12,3.941666666666666,151.9375,2.2222222222222223,21.453472222222217,16.547222222222228,62.361111111111114,16.82013888888889,16.288194444444443,,,,3.1229166666666663,2.4645833333333336,1182.4305555555557,0.0,1,0,0,0,0,0,0,0
2019-04-13,4.705555555555555,172.33333333333334,3.069444444444444,14.124305555555559,22.02152777777778,44.270833333333336,22.30069444444445,21.73194444444446,,,,3.938888888888886,3.343750000000001,1181.8819444444443,0.0,1,0,0,0,0,0,0,0
2019-04-14,7.75486111111111,250.71527777777777,5.263194444444443,12.030555555555553,21.66597222222221,40.25,21.862499999999986,21.475,,,,6.364583333333333,5.542361111111108,1181.6597222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,4.6097222222222225,158.79861111111111,3.1930555555555546,11.868055555555552,16.361805555555563,77.79166666666667,16.503472222222225,16.235416666666666,,,,3.9680555555555546,3.4604166666666676,1167.4652777777778,0.005555555555555555,1,0,0,0,0,0,0,0
2019-04-16,3.9131944444444446,248.52777777777777,2.4097222222222205,15.627083333333335,16.838194444444454,71.5625,17.03125,16.658333333333342,,,,3.2701388888888907,2.6944444444444446,1183.138888888889,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-04-17,5.136111111111114,283.7916666666667,3.2958333333333325,14.768055555555552,15.545833333333333,68.97222222222223,15.763194444444448,15.333333333333334,,,,4.253472222222223,3.5437500000000006,1166.513888888889,0.0,0,1,0,0,0,0,0,0
2019-04-18,4.636805555555555,220.19444444444446,2.804166666666668,15.429166666666667,14.750694444444443,61.71527777777778,15.018749999999999,14.498611111111115,,,,3.8249999999999997,3.0729166666666665,1167.0,0.0,0,0,1,0,0,0,0,0
2019-04-19,5.805555555555556,241.63888888888889,3.7770833333333353,12.935416666666661,14.497916666666669,57.25,14.753472222222221,14.26527777777778,,,,4.788194444444443,4.021527777777781,1166.736111111111,0.0,0,0,1,0,0,0,0,0
2019-04-20,6.543750000000002,261.09722222222223,4.228472222222221,13.070833333333328,14.771527777777777,63.138888888888886,15.001388888888888,14.535416666666666,,,,5.3902777777777775,4.5034722222222205,1181.2708333333333,0.0,0,0,1,0,0,0,0,0
2019-04-21,9.388194444444446,274.71527777777777,6.407638888888891,10.540972222222216,13.217361111111106,60.40972222222222,13.403472222222225,13.04583333333333,,,,7.737499999999999,6.70833333333333,1181.138888888889,0.0,0,1,0,0,0,0,0,0
2019-04-22,5.640972222222221,249.0,3.6520833333333322,12.947222222222228,13.043749999999998,57.18055555555556,13.297222222222219,12.793750000000005,,,,4.725694444444445,3.9395833333333323,1165.486111111111,0.0,0,0,1,0,0,0,0,0
2019-04-23,4.797916666666666,100.52777777777777,2.970138888888888,17.16319444444444,14.789583333333338,53.923611111111114,15.029861111111115,14.555555555555559,,,,3.900694444444445,3.20625,1181.7291666666667,0.0,1,0,0,0,0,0,0,0
2019-04-24,4.166666666666667,109.86111111111111,2.371527777777778,18.195138888888895,17.722222222222225,52.61805555555556,17.979861111111102,17.46249999999999,,,,3.278472222222221,2.627083333333333,1182.8402777777778,0.0,1,0,0,0,0,0,0,0
2019-04-25,4.061805555555555,192.04861111111111,2.3868055555555556,15.82847222222223,19.729166666666668,46.986111111111114,19.982638888888882,19.480555555555558,,,,3.187500000000001,2.6097222222222225,1165.375,0.0,0,0,1,0,0,0,0,0
2019-04-26,4.42638888888889,185.90277777777777,2.5250000000000004,18.62013888888889,20.44930555555556,46.125,20.706944444444442,20.18194444444444,,,,3.46875,2.7722222222222217,1165.0902777777778,0.0,0,0,1,0,0,0,0,0
2019-04-27,4.573611111111109,250.04861111111111,2.7881944444444446,16.62986111111111,20.40347222222222,54.86805555555556,20.656250000000007,20.16458333333334,,,,3.757638888888889,3.025694444444445,1180.9583333333333,0.0,0,0,1,0,0,0,0,0
2019-04-28,4.084722222222221,187.0,2.58611111111111,18.221527777777766,21.728472222222226,35.09027777777778,22.036805555555553,21.467361111111106,,,,3.411805555555556,2.8187499999999996,1165.9583333333333,0.0,0,0,1,0,0,0,0,0
2019-04-29,5.449999999999999,225.57638888888889,3.6868055555555577,12.769444444444442,24.997916666666658,23.416666666666668,25.256944444444443,24.74236111111112,,,,4.620833333333334,3.9701388888888918,1165.0555555555557,0.0,0,0,1,0,0,0,0,0
2019-04-30,3.662222222222224,199.02962962962962,2.2762962962962954,16.05185185185185,23.565925925925935,34.51111111111111,23.8674074074074,23.287407407407404,,,,3.064444444444444,2.5192592592592593,1202.3333333333333,0.0,0,0,1,0,0,0,0,0
2019-05-01,4.985314685314685,153.27272727272728,3.255244755244756,16.38531468531469,28.155244755244755,19.6993006993007,28.47132867132867,27.85174825174825,,,,4.257342657342656,3.5608391608391616,1179.4335664335665,0.0,1,0,0,0,0,0,0,0
2019-05-02,4.93263888888889,203.06944444444446,3.1972222222222224,17.88194444444445,26.78263888888889,28.416666666666668,27.01666666666667,26.540277777777778,,,,4.190277777777775,3.579861111111112,1164.798611111111,0.0,0,0,1,0,0,0,0,0
2019-05-03,5.911805555555559,281.1875,3.695833333333333,14.529861111111103,19.71319444444445,66.54166666666667,19.89097222222221,19.530555555555544,,,,4.854861111111112,3.9534722222222243,1166.0347222222222,0.0,0,1,0,0,0,0,0,0
2019-05-04,4.39722222222222,138.88194444444446,2.5749999999999984,20.10902777777778,18.52847222222223,57.826388888888886,18.77430555555554,18.28402777777777,,,,3.5034722222222223,2.820833333333333,1183.111111111111,0.0,1,0,0,0,0,0,0,0
2019-05-05,3.5770833333333343,181.63194444444446,2.2131944444444445,16.67430555555555,22.934027777777768,46.326388888888886,23.204166666666666,22.672916666666666,,,,2.960416666666666,2.4562500000000007,1181.9027777777778,0.0,1,0,0,0,0,0,0,0
2019-05-06,6.451748251748254,227.7762237762238,4.411888111888113,14.445454545454544,25.664335664335656,35.10489510489511,25.937762237762232,25.396503496503485,,,,5.532867132867133,4.811188811188811,1179.1608391608393,0.0,0,0,1,0,0,0,0,0
2019-05-07,5.67152777777778,291.11805555555554,3.465277777777777,14.599305555555556,18.917361111111106,62.90277777777778,19.123611111111114,18.748611111111114,,,,4.572916666666665,3.7381944444444426,1181.9097222222222,0.0,0,1,0,0,0,0,0,0
2019-05-08,5.026388888888888,215.95833333333334,3.063888888888889,16.757638888888895,17.604861111111113,54.72222222222222,17.840277777777786,17.36458333333333,,,,4.103472222222222,3.3381944444444454,1165.0277777777778,0.0,0,0,1,0,0,0,0,0
2019-05-09,4.199280575539565,210.49640287769785,2.528776978417266,16.09064748201439,16.448920863309358,62.273381294964025,16.71798561151079,16.19928057553957,,,,3.4194244604316557,2.763309352517987,1156.071942446043,0.0,0,0,1,0,0,0,0,0
2019-05-10,4.3590277777777775,146.21527777777777,2.638194444444446,18.87500000000001,16.869444444444454,56.75694444444444,17.11666666666666,16.63125,,,,3.526388888888889,2.863888888888889,1181.9305555555557,0.0,1,0,0,0,0,0,0,0
2019-05-11,3.7027777777777806,188.59027777777777,2.341666666666667,16.834027777777788,19.756249999999998,40.15972222222222,20.029166666666665,19.495833333333326,,,,3.063888888888889,2.534027777777779,1165.9652777777778,0.0,0,0,1,0,0,0,0,0
2019-05-12,4.381249999999999,204.65277777777777,2.740277777777777,14.382638888888883,23.084027777777777,27.666666666666668,23.353472222222223,22.827777777777776,,,,3.555555555555557,2.955555555555554,1181.8402777777778,0.0,0,0,1,0,0,0,0,0
2019-05-13,4.491666666666664,202.19444444444446,2.825694444444446,15.373611111111112,24.972916666666688,25.631944444444443,25.25208333333333,24.69583333333334,,,,3.6840277777777755,3.077083333333336,1165.173611111111,0.0,0,0,1,0,0,0,0,0
2019-05-14,4.168750000000002,194.46527777777777,2.6194444444444445,13.663888888888886,25.39791666666666,23.20138888888889,25.69097222222223,25.130555555555556,,,,3.4347222222222227,2.839583333333333,1182.0208333333333,0.0,0,0,1,0,0,0,0,0
2019-05-15,4.197916666666668,205.54166666666666,2.718055555555556,15.793749999999996,25.45277777777778,27.63888888888889,25.72013888888888,25.19930555555554,,,,3.4958333333333322,2.925694444444444,1183.4791666666667,0.0,0,0,1,0,0,0,0,0
2019-05-16,3.879166666666668,197.31944444444446,2.53125,16.27499999999999,26.845833333333335,29.006944444444443,27.130555555555556,26.563888888888886,,,,3.2534722222222223,2.7319444444444447,1181.986111111111,0.0,0,0,1,0,0,0,0,0
2019-05-17,7.127777777777776,251.22222222222223,4.979861111111111,12.410416666666668,25.189583333333335,39.083333333333336,25.433333333333334,24.975,,,,6.046527777777777,5.272916666666664,1183.1458333333333,0.0,0,0,1,0,0,0,0,0
2019-05-18,4.695138888888889,205.96527777777777,2.9680555555555546,16.2375,23.32083333333334,38.34722222222222,23.57708333333333,23.08541666666666,,,,3.911805555555557,3.237500000000001,1182.576388888889,0.0,0,0,1,0,0,0,0,0
2019-05-19,4.311805555555555,184.11805555555554,2.527777777777779,17.66041666666667,21.26319444444444,52.583333333333336,21.539583333333326,21.014583333333324,,,,3.4145833333333346,2.7666666666666675,1181.4305555555557,0.0,0,0,1,0,0,0,0,0
2019-05-20,4.449305555555558,222.51388888888889,2.708333333333335,15.77777777777778,21.3375,68.38888888888889,21.579861111111104,21.098611111111108,,,,3.5562499999999995,2.89513888888889,1165.8472222222222,0.0,0,0,1,0,0,0,0,0
2019-05-21,4.202777777777779,161.09722222222223,2.482638888888889,18.359722222222214,26.255555555555567,48.229166666666664,26.555555555555546,25.98958333333332,,,,3.4027777777777786,2.746527777777777,1181.6458333333333,0.0,1,0,0,0,0,0,0,0
2019-05-22,4.44236111111111,129.55555555555554,2.78888888888889,17.72708333333334,29.67083333333333,25.59722222222222,29.988194444444453,29.342361111111117,,,,3.6965277777777783,3.0534722222222217,1165.1527777777778,0.0,1,0,0,0,0,0,0,0
2019-05-23,4.711805555555556,159.5,3.0083333333333315,17.08819444444444,34.186805555555566,11.027777777777779,34.52430555555557,33.858333333333334,,,,3.980555555555556,3.2784722222222227,1181.0833333333333,0.0,1,0,0,0,0,0,0,0
2019-05-24,6.377083333333333,232.01388888888889,4.386805555555557,11.55555555555555,31.785416666666677,27.73611111111111,32.06944444444446,31.5138888888889,,,,5.376388888888886,4.661805555555558,1182.1805555555557,0.0,0,0,1,0,0,0,0,0
2019-05-25,4.654861111111114,270.8263888888889,2.739583333333333,18.466666666666658,23.792361111111116,68.57638888888889,23.99513888888889,23.595833333333328,,,,3.7409722222222217,2.9833333333333343,1165.1944444444443,0.0,0,0,1,0,0,0,0,0
2019-05-26,4.760416666666666,150.11111111111111,2.6284722222222237,20.77916666666667,22.694444444444436,61.958333333333336,22.92291666666667,22.486805555555556,,,,3.660416666666666,2.8555555555555565,1182.3125,0.0,1,0,0,0,0,0,0,0
2019-05-27,4.6312500000000005,181.02777777777777,2.725,18.498611111111117,22.69444444444445,64.22916666666667,22.90694444444445,22.497916666666658,,,,3.7166666666666655,2.945833333333333,1182.173611111111,0.0,0,0,1,0,0,0,0,0
2019-05-28,4.490277777777777,220.02777777777777,2.5416666666666656,21.64583333333332,23.127083333333335,69.625,23.332638888888894,22.91944444444444,,,,3.5500000000000003,2.7666666666666675,1181.3333333333333,0.0,0,0,1,0,0,0,0,0
2019-05-29,4.447916666666667,224.34722222222223,2.7326388888888906,15.21319444444444,24.992361111111116,60.71527777777778,25.22916666666666,24.763194444444448,,,,3.6138888888888894,2.9416666666666678,1181.5,0.0,0,0,1,0,0,0,0,0
2019-05-30,4.4236111111111125,242.29861111111111,2.7687500000000007,16.69861111111111,26.12222222222222,55.6875,26.374999999999993,25.87777777777778,,,,3.6340277777777774,2.9805555555555574,1165.5069444444443,0.0,0,0,1,0,0,0,0,0
2019-05-31,4.4951388888888895,274.6041666666667,2.7354166666666653,15.30208333333333,25.520138888888894,57.65972222222222,25.7361111111111,25.309722222222213,,,,3.697916666666665,2.97986111111111,1182.6875,0.0,0,1,0,0,0,0,0,0
2019-06-01,4.321527777777779,251.18055555555554,2.5423611111111115,15.733333333333329,25.40972222222224,56.041666666666664,25.66458333333333,25.185416666666658,,,,3.497222222222222,2.773611111111112,1181.625,0.0,0,0,1,0,0,0,0,0
2019-06-02,4.282394366197184,231.93661971830986,2.4570422535211276,16.39084507042254,25.05422535211267,55.78169014084507,25.320422535211268,24.79647887323943,,,,3.4274647887323955,2.6845070422535215,1178.7535211267605,0.0,0,0,1,0,0,0,0,0
2019-06-03,4.681944444444445,188.72916666666666,2.751388888888888,18.49722222222222,26.436111111111106,56.020833333333336,26.663888888888888,26.219444444444445,,,,3.727083333333332,2.988194444444444,1181.513888888889,0.0,0,0,1,0,0,0,0,0
2019-06-04,5.3256944444444425,194.13888888888889,3.327777777777778,13.220833333333333,26.996527777777775,42.55555555555556,27.228472222222237,26.76597222222222,,,,4.199999999999999,3.536805555555556,1182.5069444444443,0.0,0,0,1,0,0,0,0,0
2019-06-05,5.56875,225.5,3.497916666666667,15.731944444444448,27.675000000000008,40.923611111111114,27.905555555555566,27.44236111111111,,,,4.511111111111112,3.753472222222223,1182.0277777777778,0.0,0,0,1,0,0,0,0,0
2019-06-06,5.586111111111112,287.36805555555554,3.4638888888888872,16.30763888888889,25.62152777777778,67.70833333333333,25.824999999999996,25.44236111111111,,,,4.581944444444443,3.7437500000000004,1181.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-06-07,6.276388888888887,280.9583333333333,3.7756944444444454,14.638194444444444,24.61527777777778,68.13194444444444,24.80625,24.427083333333343,,,,4.90277777777778,4.001388888888891,1165.6319444444443,0.0,0,1,0,0,0,0,0,0
2019-06-08,4.5923611111111144,276.4583333333333,2.8256944444444434,15.564583333333335,23.06180555555555,69.38888888888889,23.240277777777774,22.874999999999996,,,,3.7833333333333314,3.0527777777777785,1182.1527777777778,0.0,0,1,0,0,0,0,0,0
2019-06-09,3.697222222222223,217.43055555555554,2.119444444444444,22.24861111111111,24.200694444444444,59.11805555555556,24.427777777777784,23.979861111111106,,,,3.0104166666666656,2.3479166666666664,1181.9097222222222,0.0,0,0,1,0,0,0,0,0
2019-06-10,5.476388888888889,191.38194444444446,3.4527777777777775,14.614583333333336,27.10833333333334,37.15277777777778,27.361111111111118,26.865972222222208,,,,4.505555555555553,3.7493055555555554,1166.6319444444443,0.0,0,0,1,0,0,0,0,0
