,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-02-25,6.831944444444442,90.49305555555556,3.4493055555555565,20.672222222222228,19.06805555555555,33.236111111111114,19.21874999999999,18.914583333333336,,,,4.843055555555554,3.681944444444445,1165.3819444444443,0.0,0,1,0,0,0,0,0,0
2019-02-26,7.547222222222223,186.59027777777777,4.504861111111108,16.28472222222223,15.023611111111112,53.84722222222222,15.181250000000006,14.889583333333336,,,,5.843750000000001,4.762500000000001,1182.8055555555557,0.0,0,0,1,0,0,0,0,0
2019-02-27,7.790277777777774,214.9375,4.636805555555557,14.295138888888893,11.072222222222221,92.60416666666667,11.183333333333334,10.952777777777783,,,,6.095138888888886,4.986111111111112,1181.8125,0.23333333333333334,0,0,1,0,0,0,0,0
2019-02-28,9.679166666666658,235.36805555555554,5.420138888888889,14.890277777777786,8.934722222222218,89.80555555555556,9.058333333333334,8.824305555555553,,,,7.395833333333329,5.897222222222222,1183.1597222222222,0.3145833333333335,0,0,1,0,0,0,0,0
2019-03-01,5.163888888888889,244.89583333333334,3.0673611111111105,13.979166666666668,10.225000000000001,74.20833333333333,10.363194444444444,10.085416666666667,,,,4.059722222222224,3.3256944444444443,1181.9791666666667,0.01736111111111112,0,0,1,0,0,0,0,0
2019-03-02,4.6020833333333355,179.94444444444446,2.6729166666666666,14.310416666666661,9.862499999999999,92.21527777777777,9.935416666666658,9.786805555555556,,,,3.6416666666666675,2.917361111111111,1181.25,0.05694444444444445,0,1,0,0,0,0,0,0
2019-03-03,4.802777777777778,157.05555555555554,3.0152777777777775,13.254861111111115,11.48611111111111,63.5,11.603472222222228,11.367361111111116,,,,3.896527777777778,3.2118055555555554,1181.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-03-04,4.5055555555555555,178.70138888888889,2.668750000000001,13.835416666666664,11.56875,82.52777777777777,11.73402777777778,11.414583333333333,,,,3.5937499999999982,2.918055555555556,1181.5416666666667,0.012500000000000002,0,1,0,0,0,0,0,0
2019-03-05,2.9084615384615384,119.74305555555556,1.7569444444444446,19.757638888888888,10.82430555555556,81.90972222222223,11.014583333333336,10.649999999999997,,,,2.4840277777777784,2.027083333333335,1181.9930555555557,0.2319444444444446,0,1,0,0,0,0,0,0
2019-03-06,2.6118055555555575,213.09722222222223,1.4569444444444444,16.975694444444425,11.786111111111119,82.03472222222223,12.024305555555555,11.553472222222217,,,,2.153472222222222,1.6631944444444444,1181.2291666666667,0.0,0,0,1,0,0,0,0,0
2019-03-07,3.4312500000000004,215.44444444444446,2.0583333333333336,12.505555555555555,11.224305555555558,85.73611111111111,11.384027777777778,11.090972222222224,,,,2.761111111111111,2.231944444444445,1182.451388888889,0.002777777777777778,0,0,1,0,0,0,0,0
2019-03-08,3.3715277777777772,219.45138888888889,1.9256944444444446,20.19375,12.446527777777781,75.53472222222223,12.660416666666656,12.245833333333334,,,,2.79236111111111,2.1423611111111107,1181.8958333333333,0.0,0,0,1,0,0,0,0,0
2019-03-09,2.6909722222222237,177.60416666666666,1.5229166666666667,20.775694444444447,11.97708333333333,69.13888888888889,12.217361111111115,11.738888888888889,,,,2.186111111111112,1.7340277777777775,1165.8194444444443,0.0,0,0,1,0,0,0,0,0
2019-03-10,2.8833333333333337,201.85416666666666,1.6319444444444442,17.5951388888889,11.436111111111105,77.54166666666667,11.643749999999995,11.242361111111105,,,,2.352083333333334,1.7930555555555547,1182.1597222222222,0.0,0,0,1,0,0,0,0,0
2019-03-11,2.4437500000000014,193.69444444444446,1.375,19.621527777777764,12.91319444444444,75.52777777777777,13.10972222222222,12.722916666666672,,,,2.0402777777777783,1.548611111111111,1182.625,0.0,0,0,1,0,0,0,0,0
2019-03-12,3.101388888888889,150.21527777777777,1.8881944444444443,21.099305555555546,15.44722222222223,67.68055555555556,15.660416666666666,15.234722222222224,,,,2.578472222222222,2.113888888888889,1181.625,0.0,0,1,0,0,0,0,0,0
2019-03-13,6.053472222222222,189.20138888888889,3.545833333333333,18.53055555555556,16.91736111111111,46.888888888888886,17.14444444444445,16.69722222222222,,,,4.788194444444446,3.8840277777777774,1182.3055555555557,0.012500000000000002,0,0,1,0,0,0,0,0
2019-03-14,6.668055555555553,214.73611111111111,3.925000000000002,13.935416666666669,11.190277777777784,90.01388888888889,11.27777777777778,11.095138888888892,,,,5.211805555555556,4.2451388888888895,1181.625,0.07430555555555557,0,0,1,0,0,0,0,0
2019-03-15,4.675000000000003,190.84027777777777,2.7555555555555546,15.164583333333333,13.581249999999997,76.95833333333333,13.732638888888888,13.440277777777773,,,,3.765277777777778,3.0104166666666656,1182.2152777777778,0.0,0,0,1,0,0,0,0,0
2019-03-16,7.14861111111111,197.86805555555554,4.212500000000002,14.393055555555552,10.752777777777773,85.22222222222223,10.911805555555553,10.59861111111111,,,,5.57361111111111,4.531250000000002,1182.7083333333333,0.14236111111111116,0,0,1,0,0,0,0,0
2019-03-17,5.360416666666667,227.54861111111111,3.2624999999999997,13.599305555555556,12.195138888888884,81.02083333333333,12.340972222222218,12.049999999999999,,,,4.2375,3.5159722222222225,1165.5069444444443,0.024305555555555556,0,0,1,0,0,0,0,0
2019-03-18,3.0152777777777775,187.80555555555554,1.7729166666666667,18.8625,13.268055555555556,80.44444444444444,13.474305555555553,13.083333333333334,,,,2.479166666666666,1.9743055555555553,1182.2569444444443,0.0,0,0,1,0,0,0,0,0
2019-03-19,2.971527777777777,188.53472222222223,1.7930555555555558,18.737499999999997,14.923611111111107,63.40972222222222,15.118749999999997,14.718055555555559,,,,2.4548611111111116,1.9604166666666671,1182.0972222222222,0.0,0,0,1,0,0,0,0,0
2019-03-20,2.656944444444443,210.54861111111111,1.5534722222222213,17.770833333333336,14.490277777777777,75.84722222222223,14.715277777777771,14.274305555555555,,,,2.221527777777777,1.7263888888888879,1180.6319444444443,0.0,0,0,1,0,0,0,0,0
2019-03-21,2.743055555555555,234.81944444444446,1.535416666666667,18.088888888888885,14.292361111111111,82.29166666666667,14.479166666666677,14.106250000000006,,,,2.229861111111112,1.7048611111111105,1166.4930555555557,0.0,0,0,1,0,0,0,0,0
2019-03-22,2.4798611111111124,216.4375,1.4041666666666668,18.650694444444426,14.406249999999996,86.07638888888889,14.602083333333333,14.213888888888892,,,,2.045833333333334,1.595833333333334,1181.576388888889,0.0,0,0,1,0,0,0,0,0
2019-03-23,2.984722222222222,171.03472222222223,1.777083333333334,22.270138888888887,15.286111111111117,82.77083333333333,15.450000000000001,15.111805555555557,,,,2.5277777777777777,2.018055555555556,1165.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-03-24,3.5999999999999996,185.79166666666666,2.249305555555556,18.617361111111123,14.413888888888899,75.625,14.572222222222223,14.252777777777773,,,,3.0069444444444438,2.485416666666667,1165.3125,0.0,0,0,1,0,0,0,0,0
2019-03-25,4.2250000000000005,189.40277777777777,2.416666666666666,14.61111111111111,9.530555555555562,85.40972222222223,9.656944444444441,9.392361111111112,,,,3.347222222222221,2.70486111111111,1182.2430555555557,0.12222222222222229,0,0,1,0,0,0,0,0
2019-03-26,4.103472222222221,185.88194444444446,2.353472222222222,14.721527777777782,11.644444444444442,70.36805555555556,11.847222222222232,11.447222222222221,,,,3.2729166666666654,2.572916666666667,1181.076388888889,0.0,0,0,1,0,0,0,0,0
2019-03-27,5.229861111111113,211.70833333333334,3.2375,12.832638888888894,13.197222222222225,81.92361111111111,13.347916666666661,13.043055555555556,,,,4.204166666666667,3.4534722222222225,1166.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-03-28,3.1194444444444427,175.25694444444446,1.7604166666666665,19.221527777777784,14.580555555555556,77.14583333333333,14.760416666666673,14.415277777777785,,,,2.5548611111111126,1.9784722222222224,1182.138888888889,0.0,0,0,1,0,0,0,0,0
2019-03-29,5.543055555555554,125.02083333333333,2.849305555555556,24.407638888888886,16.430555555555557,55.93055555555556,16.609027777777776,16.25208333333333,,,,4.139583333333334,3.1777777777777776,1165.888888888889,0.005555555555555555,0,1,0,0,0,0,0,0
2019-03-30,9.904861111111108,183.72222222222223,5.787500000000002,16.26180555555556,13.779166666666669,78.625,13.938194444444443,13.634027777777778,,,,7.5680555555555555,6.225694444444444,1183.7430555555557,0.11041666666666666,0,0,1,0,0,0,0,0
2019-03-31,6.577083333333338,200.84027777777777,3.948611111111112,14.350000000000007,10.541666666666668,94.97916666666667,10.615972222222219,10.473611111111113,,,,5.094444444444443,4.220833333333334,1181.9791666666667,0.10972222222222215,0,0,1,0,0,0,0,0
2019-04-01,6.418749999999999,201.79861111111111,3.770138888888889,15.270833333333343,11.266666666666662,87.01388888888889,11.356249999999996,11.179861111111105,,,,5.024305555555554,4.079166666666665,1183.076388888889,0.13194444444444448,0,0,1,0,0,0,0,0
2019-04-02,4.479166666666666,195.20833333333334,2.633333333333333,15.486111111111118,13.073611111111116,75.04166666666667,13.237500000000002,12.927083333333332,,,,3.5986111111111123,2.909027777777778,1181.8125,0.002777777777777778,0,0,1,0,0,0,0,0
2019-04-03,3.0770833333333325,166.39583333333334,1.6111111111111114,25.892361111111118,13.70972222222222,67.68055555555556,13.947222222222226,13.47569444444445,,,,2.4694444444444437,1.8902777777777777,1181.9583333333333,0.0,0,1,0,0,0,0,0,0
2019-04-04,2.925694444444444,201.48611111111111,1.7326388888888884,19.1076388888889,15.106249999999998,71.88888888888889,15.285416666666654,14.939583333333339,,,,2.414583333333333,1.9215277777777777,1181.9166666666667,0.0,0,0,1,0,0,0,0,0
2019-04-05,2.9395833333333328,219.07638888888889,1.8027777777777783,14.764583333333333,14.30208333333334,84.09722222222223,14.479166666666673,14.143749999999999,,,,2.4625,1.9930555555555562,1183.2847222222222,0.0,0,0,1,0,0,0,0,0
2019-04-06,3.076388888888889,120.54861111111111,1.7354166666666668,22.518055555555563,17.483333333333338,53.44444444444444,17.68263888888889,17.293750000000003,,,,2.498611111111112,1.9666666666666666,1182.4375,0.0,0,1,0,0,0,0,0,0
2019-04-07,4.582638888888891,158.9375,2.7652777777777775,16.212500000000002,20.97222222222223,46.5625,21.17083333333334,20.766666666666673,,,,3.6986111111111106,3.0048611111111114,1182.3472222222222,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.5923611111111122,173.82638888888889,2.1340277777777787,18.17430555555556,18.297916666666666,65.84027777777777,18.520833333333336,18.090277777777764,,,,2.91388888888889,2.3368055555555554,1181.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-04-09,4.740277777777779,183.65277777777777,2.7624999999999997,20.592361111111106,17.72569444444444,63.645833333333336,17.952083333333334,17.493749999999984,,,,3.863888888888889,3.0458333333333343,1166.375,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.225694444444446,235.48611111111111,1.9090277777777789,13.273611111111105,14.481944444444439,74.42361111111111,14.679166666666678,14.287499999999998,,,,2.6375,2.113888888888889,1181.3541666666667,0.0,0,0,1,0,0,0,0,0
2019-04-11,3.493055555555555,217.70833333333334,1.9326388888888877,23.964583333333334,13.85972222222222,73.64583333333333,14.097916666666666,13.616666666666672,,,,2.779861111111112,2.1937499999999996,1182.111111111111,0.0,0,0,1,0,0,0,0,0
2019-04-12,3.4722222222222214,156.65972222222223,1.9458333333333333,22.529166666666672,16.81180555555555,66.92361111111111,17.06041666666667,16.577777777777783,,,,2.8034722222222226,2.18611111111111,1164.7569444444443,0.0,0,1,0,0,0,0,0,0
2019-04-13,4.785416666666669,115.01388888888889,2.284722222222221,23.165972222222212,22.265277777777772,40.513888888888886,22.497916666666683,22.027083333333334,,,,3.449305555555556,2.5118055555555565,1167.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-04-14,7.37708333333333,198.47222222222223,4.293055555555554,15.400000000000006,19.299305555555563,57.34722222222222,19.446527777777774,19.153472222222213,,,,5.697916666666667,4.613888888888887,1182.0972222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,3.031249999999999,200.36111111111111,1.7298611111111106,21.03055555555555,15.209027777777784,82.22222222222223,15.345138888888894,15.081944444444442,,,,2.4868055555555557,1.9409722222222234,1181.4791666666667,0.016666666666666673,0,0,1,0,0,0,0,0
2019-04-16,3.5847222222222235,191.49305555555554,2.1625,18.956250000000008,14.953472222222226,80.30555555555556,15.108333333333336,14.80902777777778,,,,2.9638888888888895,2.3791666666666655,1181.7708333333333,0.0076388888888888895,0,0,1,0,0,0,0,0
2019-04-17,5.0729166666666705,223.13888888888889,3.0763888888888884,14.632638888888888,14.375000000000004,76.68055555555556,14.554166666666667,14.216666666666669,,,,4.074305555555555,3.280555555555554,1181.2847222222222,0.0,0,0,1,0,0,0,0,0
2019-04-18,5.077777777777779,215.0625,3.0895833333333327,13.94513888888888,14.12916666666667,71.59722222222223,14.320833333333333,13.947222222222225,,,,4.0986111111111105,3.3138888888888878,1181.5972222222222,0.0,0,0,1,0,0,0,0,0
2019-04-19,6.9111111111111105,216.64583333333334,4.134027777777776,14.63333333333333,13.595138888888892,71.73611111111111,13.788194444444445,13.41458333333334,,,,5.390277777777774,4.4125,1166.888888888889,0.0076388888888888895,0,0,1,0,0,0,0,0
2019-04-20,5.701388888888889,212.28472222222223,3.3645833333333326,15.561805555555559,13.319444444444438,76.86111111111111,13.482638888888891,13.150694444444447,,,,4.564583333333334,3.617361111111114,1165.798611111111,0.0062499999999999995,0,0,1,0,0,0,0,0
2019-04-21,7.813986013986015,248.125,4.542361111111111,15.382638888888895,11.347916666666666,68.27083333333333,11.591666666666661,11.131944444444446,,,,6.091666666666663,4.925694444444442,1182.4305555555557,0.026388888888888892,0,0,1,0,0,0,0,0
2019-04-22,4.945833333333335,215.69444444444446,3.036805555555555,14.32291666666667,11.943055555555558,70.63194444444444,12.142361111111114,11.767361111111118,,,,3.987500000000002,3.270138888888888,1181.5625,0.0076388888888888895,0,0,1,0,0,0,0,0
2019-04-23,3.5534722222222217,195.6875,1.994444444444444,22.44583333333333,13.418750000000003,70.13194444444444,13.668055555555561,13.185416666666672,,,,2.883333333333334,2.2284722222222215,1165.111111111111,0.0,0,0,1,0,0,0,0,0
2019-04-24,4.770833333333334,95.75,2.6638888888888896,20.07638888888889,18.05277777777778,47.06944444444444,18.29652777777779,17.820138888888888,,,,3.714583333333335,2.9388888888888896,1164.986111111111,0.0,0,1,0,0,0,0,0,0
2019-04-25,3.839583333333333,116.84722222222223,2.1263888888888896,25.325694444444434,21.015277777777776,35.31944444444444,21.30555555555555,20.722916666666666,,,,3.0715277777777787,2.4076388888888887,1166.5277777777778,0.0,0,1,0,0,0,0,0,0
2019-04-26,4.338194444444444,93.90277777777777,2.468055555555555,21.321527777777785,22.084027777777788,33.611111111111114,22.352083333333326,21.83958333333334,,,,3.4236111111111125,2.7236111111111123,1181.7569444444443,0.0,0,1,0,0,0,0,0,0
2019-04-27,3.2715277777777776,203.34722222222223,1.8597222222222218,21.13611111111111,21.816666666666674,35.236111111111114,22.09999999999999,21.549305555555556,,,,2.663194444444446,2.1111111111111116,1182.1458333333333,0.0,0,0,1,0,0,0,0,0
2019-04-28,3.197222222222222,196.40277777777777,1.8125,20.009027777777778,20.015972222222214,46.923611111111114,20.27708333333333,19.768055555555556,,,,2.604166666666666,1.9972222222222225,1182.9097222222222,0.0,0,0,1,0,0,0,0,0
2019-04-29,3.236496350364964,170.53284671532847,1.8087591240875913,23.08905109489051,24.337762237762245,30.524475524475523,24.627972027972035,24.048951048951054,,,,2.6350364963503656,2.0598540145985407,1187.153284671533,0.0,0,1,0,0,0,0,0,0
2019-04-30,3.00763888888889,186.03472222222223,1.786805555555556,18.19236111111111,21.288194444444443,47.416666666666664,21.556944444444454,21.04166666666667,,,,2.4826388888888897,1.9909722222222226,1181.486111111111,0.0,0,0,1,0,0,0,0,0
2019-05-01,3.7727272727272734,91.31468531468532,2.191608391608391,20.462237762237756,25.365034965034965,28.88111888111888,25.67832167832169,25.053846153846152,,,,3.0706293706293706,2.458041958041959,1163.4475524475524,0.0,1,0,0,0,0,0,0,0
2019-05-02,4.218055555555556,165.6875,2.3159722222222223,22.86111111111111,24.735416666666666,39.06944444444444,25.058333333333334,24.449305555555576,,,,3.39375,2.6520833333333327,1181.5277777777778,0.0,0,1,0,0,0,0,0,0
2019-05-03,4.8041666666666645,224.14583333333334,2.8708333333333322,17.629861111111108,18.44444444444444,63.361111111111114,18.654861111111103,18.220833333333324,,,,3.954861111111112,3.1083333333333325,1164.8055555555557,0.0,0,0,1,0,0,0,0,0
2019-05-04,3.759722222222221,222.8125,2.195138888888889,23.813194444444445,16.956944444444442,70.66666666666667,17.18958333333334,16.74444444444445,,,,3.0430555555555565,2.4333333333333336,1182.861111111111,0.0,0,0,1,0,0,0,0,0
2019-05-05,4.350694444444447,138.47222222222223,2.3395833333333322,22.35763888888889,24.439583333333335,29.520833333333332,24.724305555555546,24.139583333333345,,,,3.4208333333333334,2.614583333333333,1165.7777777777778,0.0,0,1,0,0,0,0,0,0
2019-05-06,5.5062937062937065,167.8181818181818,3.0342657342657353,20.662937062937072,26.083916083916094,37.06993006993007,26.329370629370626,25.855244755244744,,,,4.3300699300699295,3.406293706293705,1178.1538461538462,0.0,0,1,0,0,0,0,0,0
2019-05-07,5.936111111111114,254.24305555555554,3.589583333333334,15.497916666666669,17.64861111111112,72.09027777777777,17.827777777777776,17.47986111111112,,,,4.767361111111112,3.8312500000000003,1165.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-05-08,4.131249999999999,235.13194444444446,2.4611111111111117,15.294444444444439,16.35763888888889,70.29861111111111,16.540277777777774,16.183333333333337,,,,3.378472222222223,2.668750000000001,1181.951388888889,0.0,0,0,1,0,0,0,0,0
2019-05-09,3.786231884057971,228.46376811594203,2.1521739130434785,18.606521739130425,15.475362318840583,66.41304347826087,15.724637681159416,15.242028985507243,,,,3.064492753623188,2.3485507246376813,1134.4855072463768,0.0,0,0,1,0,0,0,0,0
2019-05-10,3.4972222222222213,213.02083333333334,1.9097222222222223,21.178472222222226,15.408333333333328,66.27083333333333,15.649305555555546,15.179166666666662,,,,2.8284722222222225,2.1374999999999997,1180.7291666666667,0.0,0,0,1,0,0,0,0,0
2019-05-11,3.165972222222222,182.48611111111111,1.78125,25.228472222222234,18.487500000000004,54.55555555555556,18.75625000000001,18.218055555555562,,,,2.566666666666666,1.9951388888888895,1165.8541666666667,0.0,0,0,1,0,0,0,0,0
2019-05-12,3.870833333333333,187.79861111111111,2.231944444444445,17.740972222222226,22.76875,32.076388888888886,23.024999999999995,22.517361111111118,,,,3.0763888888888893,2.439583333333333,1164.125,0.0,0,0,1,0,0,0,0,0
2019-05-13,4.002777777777776,180.83333333333334,2.424305555555556,17.976388888888902,25.890972222222217,23.0,26.15069444444444,25.62916666666666,,,,3.2097222222222235,2.6180555555555554,1181.888888888889,0.0,0,0,1,0,0,0,0,0
2019-05-14,2.8819444444444446,194.98611111111111,1.6312499999999996,22.077777777777772,24.988194444444442,28.270833333333332,25.31319444444445,24.69583333333334,,,,2.366666666666668,1.8409722222222216,1182.9305555555557,0.0,0,0,1,0,0,0,0,0
2019-05-15,3.0312500000000013,195.25,1.741666666666667,24.281249999999996,24.609027777777765,41.15277777777778,24.998611111111106,24.279166666666676,,,,2.5215277777777776,1.970138888888889,1183.0694444444443,0.0,0,0,1,0,0,0,0,0
2019-05-16,3.109027777777778,172.375,1.8527777777777779,23.090972222222224,25.509722222222226,38.958333333333336,25.86458333333335,25.160416666666674,,,,2.5979166666666655,2.0604166666666672,1183.6319444444443,0.0,0,1,0,0,0,0,0,0
2019-05-17,5.583333333333334,177.34722222222223,3.272916666666666,17.831249999999997,24.936805555555562,44.40972222222222,25.21944444444446,24.64722222222222,,,,4.449999999999996,3.570833333333332,1182.1805555555557,0.0,0,1,0,0,0,0,0,0
2019-05-18,3.573611111111111,211.79166666666666,2.0826388888888885,19.16944444444445,21.504861111111115,45.854166666666664,21.709722222222226,21.313888888888886,,,,2.915972222222223,2.2784722222222222,1180.6875,0.0,0,0,1,0,0,0,0,0
2019-05-19,3.6201388888888895,232.50694444444446,2.0354166666666673,22.88611111111112,19.752083333333335,63.86805555555556,20.00763888888889,19.511111111111102,,,,2.90138888888889,2.2291666666666665,1165.25,0.0,0,0,1,0,0,0,0,0
2019-05-20,3.4361111111111113,241.77083333333334,1.9951388888888886,23.172222222222207,21.02569444444445,73.40972222222223,21.23888888888889,20.81527777777777,,,,2.797916666666668,2.185416666666667,1180.7291666666667,0.0,0,0,1,0,0,0,0,0
2019-05-21,3.213194444444445,204.55555555555554,1.9361111111111104,21.37152777777778,24.39305555555555,52.986111111111114,24.65972222222223,24.12638888888889,,,,2.6611111111111123,2.1368055555555556,1181.2152777777778,0.0,0,0,1,0,0,0,0,0
2019-05-22,3.355555555555556,177.61805555555554,2.0965277777777778,15.338194444444444,29.438194444444466,22.291666666666668,29.794444444444437,29.06736111111111,,,,2.799999999999999,2.2881944444444438,1165.4375,0.0,0,1,0,0,0,0,0,0
2019-05-23,4.901388888888886,125.30555555555556,2.6395833333333334,19.358333333333334,34.031944444444434,12.45138888888889,34.32430555555555,33.772916666666646,,,,3.6881944444444423,2.8722222222222222,1166.5555555555557,0.0,0,1,0,0,0,0,0,0
2019-05-24,4.493055555555556,185.39583333333334,2.7534722222222237,16.629166666666674,32.3673611111111,24.65972222222222,32.61180555555557,32.126388888888904,,,,3.636805555555559,3.0124999999999975,1183.3194444444443,0.0,0,0,1,0,0,0,0,0
2019-05-25,4.161111111111115,246.92361111111111,2.4472222222222215,17.2888888888889,22.72986111111111,71.17361111111111,22.902777777777775,22.56319444444444,,,,3.377083333333333,2.664583333333332,1182.1666666666667,0.0,0,0,1,0,0,0,0,0
2019-05-26,3.5041666666666678,224.93055555555554,1.9749999999999999,22.779861111111106,20.750000000000007,68.52083333333333,20.964583333333337,20.53958333333333,,,,2.836111111111111,2.1805555555555554,1182.3125,0.0,0,0,1,0,0,0,0,0
2019-05-27,3.5965277777777778,239.15972222222223,2.20486111111111,17.03611111111111,21.41180555555555,71.90277777777777,21.622222222222227,21.21458333333333,,,,2.9659722222222227,2.3819444444444438,1166.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-05-28,3.372916666666668,251.34027777777777,1.9055555555555561,22.48819444444446,22.763194444444455,73.66666666666667,22.95902777777777,22.57291666666667,,,,2.752777777777777,2.106250000000001,1182.2152777777778,0.0,0,0,1,0,0,0,0,0
2019-05-29,2.9868055555555553,226.86805555555554,1.7243055555555562,20.338888888888885,25.090972222222216,65.56944444444444,25.33888888888888,24.86111111111112,,,,2.4347222222222227,1.904861111111112,1182.7708333333333,0.0,0,0,1,0,0,0,0,0
2019-05-30,3.5812500000000003,220.46527777777777,2.128472222222221,20.513194444444437,28.220138888888883,41.541666666666664,28.51736111111111,27.940277777777784,,,,2.9298611111111117,2.341666666666668,1181.2222222222222,0.0,0,0,1,0,0,0,0,0
2019-05-31,3.4895833333333344,230.42361111111111,2.056944444444444,18.772916666666664,26.426388888888894,52.86805555555556,26.650000000000002,26.206249999999994,,,,2.853472222222221,2.2673611111111125,1165.1458333333333,0.0,0,0,1,0,0,0,0,0
2019-06-01,3.680555555555555,215.29166666666666,2.1937499999999996,17.009027777777774,24.725000000000005,63.46527777777778,24.926388888888898,24.536805555555567,,,,3.019444444444444,2.3618055555555553,1181.7152777777778,0.0,0,0,1,0,0,0,0,0
2019-06-02,3.513380281690139,235.41549295774647,2.0084507042253508,20.245774647887323,23.97957746478874,69.24647887323944,24.18591549295775,23.76056338028169,,,,2.8521126760563384,2.2154929577464793,1161.9577464788733,0.0,0,0,1,0,0,0,0,0
2019-06-03,3.406944444444446,221.125,1.8895833333333318,22.612499999999997,24.695138888888888,66.1875,24.931250000000002,24.47222222222222,,,,2.7319444444444447,2.0923611111111113,1182.3819444444443,0.0,0,0,1,0,0,0,0,0
2019-06-04,4.549999999999998,213.29166666666666,2.6305555555555573,18.71111111111111,26.630555555555574,47.833333333333336,26.890972222222224,26.372916666666665,,,,3.573611111111112,2.8506944444444446,1165.3541666666667,0.0,0,0,1,0,0,0,0,0
2019-06-05,4.564583333333335,237.96527777777777,2.552777777777777,21.735416666666666,28.87152777777778,33.395833333333336,29.141666666666666,28.595833333333328,,,,3.568749999999999,2.8062500000000004,1182.0902777777778,0.0,0,0,1,0,0,0,0,0
2019-06-06,3.4763888888888874,242.54166666666666,1.9409722222222223,21.189583333333346,26.517361111111104,48.93055555555556,26.732638888888886,26.2951388888889,,,,2.8069444444444436,2.1881944444444454,1166.4722222222222,0.0,0,0,1,0,0,0,0,0
2019-06-07,5.17638888888889,256.18055555555554,2.9243055555555544,18.447222222222212,24.94722222222224,61.875,25.154861111111124,24.740972222222222,,,,4.071527777777775,3.1604166666666655,1181.9444444444443,0.0,0,0,1,0,0,0,0,0
2019-06-08,4.197916666666669,267.59722222222223,2.4861111111111107,16.90763888888889,22.341666666666658,79.29166666666667,22.486111111111104,22.20069444444444,,,,3.435416666666668,2.6944444444444438,1182.1944444444443,0.0,0,0,1,0,0,0,0,0
