,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,North,East,West,South-East,South,North-East
2019-04-01,3.7847222222222237,170.00694444444446,2.721527777777777,16.41666666666667,15.300694444444437,93.70833333333333,15.426388888888876,15.171527777777774,,,,3.418055555555556,3.009027777777776,1182.8680555555557,,1,0,0,0,0,0,0,0
2019-04-02,2.3284722222222216,150.59722222222223,1.6555555555555554,11.979861111111113,16.322916666666668,89.73611111111111,16.427777777777784,16.212499999999984,,,,2.120138888888889,1.8791666666666669,1165.3472222222222,,1,0,0,0,0,0,0,0
2019-04-03,2.5319444444444454,172.11111111111111,1.8083333333333336,11.616666666666665,18.030555555555562,77.5625,18.215972222222216,17.836111111111116,,,,2.2722222222222217,2.004166666666667,1165.8402777777778,,1,0,0,0,0,0,0,0
2019-04-04,3.1229166666666677,210.59722222222223,2.3041666666666663,11.751388888888888,19.354166666666668,74.65972222222223,19.54236111111112,19.14375000000001,,,,2.852083333333334,2.540277777777777,1166.1944444444443,,0,1,0,0,0,0,0,0
2019-04-05,3.3159722222222214,207.9375,2.4118055555555546,13.645138888888876,19.97569444444445,84.86111111111111,20.187499999999996,19.783333333333324,,,,2.989583333333334,2.625694444444442,1182.388888888889,,0,1,0,0,0,0,0,0
2019-04-06,3.0541666666666667,187.8125,2.251388888888888,11.663194444444443,19.639583333333334,83.72916666666667,19.83333333333334,19.440972222222232,,,,2.7993055555555566,2.5090277777777765,1165.076388888889,,0,1,0,0,0,0,0,0
2019-04-07,2.608333333333332,204.45833333333334,1.877777777777778,12.225694444444441,22.98472222222223,74.39583333333333,23.23402777777777,22.752777777777787,,,,2.408333333333333,2.1444444444444453,1182.0902777777778,,0,1,0,0,0,0,0,0
2019-04-08,2.8638888888888894,190.13194444444446,2.027777777777778,13.540972222222225,21.463194444444447,73.19444444444444,21.69097222222222,21.245833333333326,,,,2.5916666666666672,2.2666666666666666,1165.2430555555557,,0,1,0,0,0,0,0,0
2019-04-09,3.8972222222222217,223.66666666666666,2.824305555555555,11.450000000000005,20.552777777777774,76.89583333333333,20.742361111111098,20.35625,,,,3.493055555555557,3.0805555555555566,1182.0347222222222,,0,1,0,0,0,0,0,0
2019-04-10,5.414583333333329,220.65972222222223,4.186111111111114,8.922222222222222,19.45763888888889,74.0,19.610416666666666,19.311111111111117,,,,4.885416666666666,4.436111111111112,1181.8055555555557,,0,1,0,0,0,0,0,0
2019-04-11,3.5409722222222224,196.18055555555554,2.5062499999999996,14.753472222222225,19.66388888888888,75.46527777777777,19.923611111111114,19.424305555555545,,,,3.1847222222222227,2.754861111111112,1182.236111111111,,0,1,0,0,0,0,0,0
