,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-04-01,,,,,12.158333333333339,91.20833333333333,12.275000000000002,12.027777777777779,129.36111111111111,7.936842105263158,87.20833333333333,,,,0.0986111111111111,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,12.822916666666664,86.20833333333333,12.965277777777779,12.682638888888892,192.32638888888889,2.4324324324324325,89.18055555555556,,,,0.009722222222222222,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,13.613888888888889,79.59027777777777,13.785416666666668,13.448611111111104,224.47916666666666,178.78846153846155,60.69444444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,14.654861111111112,81.48611111111111,14.812500000000009,14.49652777777778,251.78472222222223,229.1631205673759,66.30555555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,15.020138888888892,86.16666666666667,15.158333333333331,14.891666666666664,199.94444444444446,39.50909090909091,88.6875,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,16.075694444444448,75.52083333333333,16.23055555555554,15.918750000000001,138.39583333333334,9.13888888888889,111.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,20.200000000000017,50.0625,20.427777777777777,19.99305555555556,272.9375,37.357142857142854,87.66666666666667,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,19.036805555555556,62.951388888888886,19.25,18.8263888888889,290.00694444444446,277.09285714285716,64.72916666666667,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,17.54791666666667,69.38194444444444,17.77222222222223,17.331250000000004,288.7708333333333,231.5438596491228,62.31944444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,15.050694444444442,76.75694444444444,15.199305555555558,14.899305555555562,285.6041666666667,1.6470588235294117,62.96527777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,14.963888888888894,75.27083333333333,15.113888888888889,14.827777777777774,302.8263888888889,19.554054054054053,45.013888888888886,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,15.908333333333335,78.91666666666667,16.06666666666667,15.747222222222215,306.5,94.61111111111111,53.611111111111114,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,22.679166666666664,36.291666666666664,22.910416666666666,22.45763888888889,300.0416666666667,100.8019801980198,63.72222222222222,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,18.813194444444438,67.86805555555556,18.933333333333326,18.69722222222222,130.04166666666666,17.395833333333332,98.33333333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-15,,,,,15.020833333333323,86.84722222222223,15.134722222222232,14.918055555555554,89.99305555555556,20.118055555555557,70.49305555555556,,,,0.013194444444444446,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,14.528472222222222,85.39583333333333,14.679166666666662,14.380555555555556,259.1041666666667,199.23611111111111,88.04166666666667,,,,0.025694444444444447,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,15.009722222222223,80.93055555555556,15.148611111111109,14.884027777777785,209.68055555555554,112.28472222222223,94.22222222222223,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,14.591666666666669,74.06944444444444,14.780555555555557,14.418055555555547,253.84027777777777,147.0,91.91666666666667,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,14.355555555555554,72.84722222222223,14.540277777777769,14.181249999999999,251.34722222222223,,84.69444444444444,,,,0.036111111111111115,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,14.33888888888889,74.96527777777777,14.47361111111111,14.198611111111106,240.99305555555554,,88.68055555555556,,,,0.027777777777777776,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,12.272916666666664,65.875,12.463888888888889,12.102083333333335,216.375,,74.68055555555556,,,,0.009027777777777779,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,13.597222222222225,70.27777777777777,13.735416666666662,13.454166666666662,177.61111111111111,,93.13194444444444,,,,0.012500000000000002,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,14.479861111111104,67.74305555555556,14.679861111111105,14.29027777777778,323.40277777777777,,57.77777777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-24,,,,,16.48611111111111,65.90972222222223,16.69791666666667,16.287499999999998,300.99305555555554,,92.33333333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-25,,,,,18.8625,50.979166666666664,19.06597222222221,18.65138888888889,296.1875,,102.04861111111111,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,20.86666666666667,42.986111111111114,21.11944444444445,20.626388888888886,307.3125,,81.97222222222223,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,21.584722222222215,34.0625,21.802083333333332,21.386111111111124,248.84027777777777,,108.59722222222223,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,20.923611111111107,41.38194444444444,21.134722222222226,20.70694444444444,323.3333333333333,,50.81944444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,22.709722222222226,38.03472222222222,22.96805555555556,22.436111111111114,299.15972222222223,22.72093023255814,103.98611111111111,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,20.94583333333334,57.451388888888886,21.19861111111111,20.693749999999994,262.3888888888889,123.34027777777777,114.45833333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,22.20902777777779,51.541666666666664,22.509722222222223,21.92569444444445,298.0833333333333,71.95918367346938,101.84027777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,25.40555555555555,40.03472222222222,25.761805555555558,25.05694444444444,187.20833333333334,22.633663366336634,114.375,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,18.234722222222217,71.20833333333333,18.429861111111123,18.060416666666665,328.8611111111111,75.6867469879518,57.22222222222222,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,17.14236111111111,80.93055555555556,17.286111111111122,17.001388888888872,330.2986111111111,102.9009900990099,57.520833333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,21.830555555555563,53.048611111111114,22.106944444444437,21.55555555555555,327.4166666666667,360.73571428571427,50.90277777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,25.320422535211275,39.070422535211264,25.604929577464784,25.041549295774665,208.57746478873239,115.88571428571429,95.14788732394366,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,17.521830985915503,75.64084507042253,17.68239436619719,17.37464788732395,238.5,133.79166666666666,101.34722222222223,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-08,,,,,16.82916666666666,66.45138888888889,17.01041666666666,16.65902777777778,305.49305555555554,270.38194444444446,67.42361111111111,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-09,,,,,16.198591549295784,65.73239436619718,16.3887323943662,16.01408450704225,300.59859154929575,283.3732394366197,59.767605633802816,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-10,,,,,16.336805555555554,65.84722222222223,16.54305555555557,16.131249999999994,324.6388888888889,317.90070921985813,58.201388888888886,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-11,,,,,16.793749999999985,72.49305555555556,16.98194444444444,16.62430555555555,342.4513888888889,14.696969696969697,33.270833333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-12,,,,,20.579166666666673,56.979166666666664,20.83402777777777,20.345138888888876,350.8201438848921,404.9864864864865,37.701388888888886,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-13,,,,,23.46388888888889,32.013888888888886,23.711805555555536,23.231250000000003,361.3138686131387,450.9513888888889,30.07638888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-14,,,,,23.56666666666666,36.52777777777778,23.781944444444452,23.35416666666667,354.268115942029,426.86805555555554,36.333333333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-15,,,,,25.11944444444445,39.361111111111114,25.412499999999998,24.82638888888889,332.965034965035,352.1736111111111,55.11805555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-16,,,,,25.815972222222214,39.68055555555556,26.122916666666672,25.543750000000014,328.3356643356643,330.15277777777777,60.74305555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-17,,,,,25.429166666666667,46.74305555555556,25.7,25.167361111111116,316.6875,28.186046511627907,76.92361111111111,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-18,,,,,20.04375000000001,52.56944444444444,20.257638888888888,19.823611111111113,347.65034965034965,35.5,57.083333333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-19,,,,,19.510416666666675,74.52083333333333,19.69930555555557,19.3201388888889,345.74305555555554,47.644444444444446,47.020833333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-20,,,,,20.69930555555555,74.83333333333333,20.861805555555563,20.525000000000002,330.6363636363636,2.0,63.69444444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-21,,,,,23.741666666666674,49.583333333333336,23.99097222222222,23.497222222222227,336.02797202797206,2.0,66.46527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-22,,,,,27.72777777777778,25.458333333333332,27.97361111111111,27.46805555555556,331.04895104895104,,79.3125,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-23,,,,,32.15833333333333,17.229166666666668,32.5125,31.81319444444444,303.94444444444446,,122.30555555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-24,,,,,31.564583333333342,25.631944444444443,31.878472222222236,31.270138888888894,262.3611111111111,,128.16666666666666,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-25,,,,,21.8125,72.84027777777777,22.004166666666666,21.635416666666668,327.88194444444446,,96.08333333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-26,,,,,20.188888888888883,74.59722222222223,20.36319444444444,20.00625000000001,315.13194444444446,116.77464788732394,79.99305555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-27,,,,,20.857638888888896,78.43055555555556,21.018749999999997,20.688888888888894,332.2708333333333,286.46527777777777,81.47916666666667,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-28,,,,,22.722916666666677,70.36111111111111,22.88680555555557,22.569444444444454,337.15492957746477,322.46853146853147,62.43055555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-29,,,,,25.456944444444446,54.09027777777778,25.66736111111111,25.24930555555556,352.30281690140845,390.49305555555554,44.99305555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-30,,,,,29.582638888888894,30.791666666666668,29.81944444444445,29.34791666666667,339.125,67.025,72.25694444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-31,,,,,28.28124999999999,36.24305555555556,28.52847222222222,28.046527777777772,312.8611111111111,53.126315789473686,96.79861111111111,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-01,,,,,25.172916666666666,55.576388888888886,25.41666666666667,24.921527777777797,339.7083333333333,85.3012048192771,70.41666666666667,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-02,,,,,24.392361111111118,68.67361111111111,24.62430555555555,24.156944444444434,343.82394366197184,69.54545454545455,68.34027777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-03,,,,,25.980555555555547,55.9375,26.19930555555556,25.786805555555546,335.4577464788732,16.661971830985916,77.88194444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-04,,,,,26.436111111111117,47.8125,26.648611111111094,26.214583333333337,321.5763888888889,21.126582278481013,96.96527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-05,,,,,26.770833333333343,48.645833333333336,26.98680555555556,26.561805555555566,308.49305555555554,19.493506493506494,106.45138888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-06,,,,,24.53472222222223,63.44444444444444,24.65486111111112,24.423611111111118,210.27777777777777,53.701388888888886,128.01388888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-07,,,,,23.871527777777786,69.25,24.036805555555564,23.730555555555558,337.4642857142857,9.264705882352942,65.80555555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-08,,,,,22.80347222222222,79.26388888888889,22.951388888888893,22.66180555555557,280.0138888888889,3.25974025974026,132.08333333333334,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-09,,,,,22.201388888888893,76.67361111111111,22.36319444444446,22.06041666666667,320.65277777777777,7.891891891891892,93.375,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-10,,,,,24.14375000000001,54.888888888888886,24.423611111111104,23.874305555555562,359.40714285714284,15.926470588235293,43.09027777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-11,,,,,25.602777777777778,51.4375,25.865277777777774,25.34791666666667,344.57246376811594,10.544117647058824,54.44444444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-12,,,,,23.748611111111114,70.95138888888889,23.91875,23.5763888888889,314.1458333333333,153.8440366972477,101.36111111111111,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-13,,,,,23.040277777777778,74.65277777777777,23.209027777777788,22.87708333333334,312.2916666666667,252.625,98.08333333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-14,,,,,23.20902777777778,74.67361111111111,23.377777777777787,23.034027777777784,344.4583333333333,305.40277777777777,83.28472222222223,,,,0.0,1,0,0,0,0,0,0,0,0
